Jahr,ViDtl_BefGue_t,ViDtl_BefLei_TKm,GrUeV_BefGue_t,GrUeV_BefLei_TKm,GrUeEmpf_BefGue_t,GrUeEmpf_BefLei_TKm,DurV_BefGue_t,DurV_BefLei_TKm,Sum_BefGue_t,Sum_BefLei_TKm
2005,201725248,44412331208,48220060,20865121275,51123597,19223183757,16224923,10919856905,317293828,95420493145
2006,217889529,50523669000,54627719,23831035992,56147183,21201601475,17453659,11451049129,346118090,107007355596
2007,226306630,53784153169,56424791,24983134695,59101366,22934008384,19282950,12913583099,361115737,114614879347
2008,239265747,55927833295,54335962,24314792268,57553452,22574652207,20142786,12834590690,371297947,115651868460
2009,210722363,48667269124,41778518,18831769684,44230667,18028124535,15355653,10307300967,312087201,95834464310
2010,242072523,54529204012,45116504,20693641696,52089106,20950670014,16436579,11143442671,355714712,107316958393
2011,257201700,58995584972,46255587,20971304978,56322697,23015946306,14957057,10334562425,374737041,113317398681
2012,247116784,56325534201,45285775,20310417708,58225509,23159485158,15512176,10269362502,366140244,110064799569
2013,247471748,57585460812,45529538,19845345592,62919401,23727374271,17817087,11454374098,373737774,112612554773
2014,238687142,56387421464,45888370,20336610800,61888608,23886812686,18538438,12017962730,365002558,112628807680
2015,241670987,59433486987,47499943,21276569945,57982574,22877384907,20160352,13044678968,367313856,116632120807
2016,231204730,55548551284,45542560,20646630175,53751664,21375502565,19605999,12802093602,350104953,110372777626
2017,221984082,54190284607,43315437,19565673715,50642470,20348355311,18665360,11957226436,334607349,106061540069
2018,232236035,59827232196,44646732,20317377483,50345593,21449450028,14697028,9073819239,341925388,110667878946
2019,225022756,57921014298,45912649,22061421673,55087932,23860158338,14534542,9271594527,340557879,113114188836
2020,208306460,54826968939,42836805,20426413362,50877682,21731962008,18122039,11420401929,320142986,108405746238
2021,232004996,61386481424,48906545,24301254120,57461971,25130906164,19190551,12248261248,357564063,123066902956
2022,231889933,61075012695,48119435,23970637141,56756441,25251141988,22092482,14255778396,358858291,124552570220
