Jahr,Bruttowertschoepfung,Gütersteuern abzügl. Gütersubventionen,Gütersteuern,Gütersubventionen,Bruttoinlandsprodukt,nachr.: Bruttoinlandsprodukt (Veränderung in %),nachr.: Bruttoinlandsprodukt je Einwohner,GewVuW_BefGueM_Kt,GewVuW_BefLei_MillTKm,BinV_BefGueM_Kt,BinV_BefLei_MillTKm,GrUeV_BefGueM_Kt,GrUeV_BefLei_MillTKm,GrUeVers_BefGueM_Kt,GrUeVers_BefLei_MillTKm,GrUeEmpf_BefGueM_Kt,GrUeEmpf_BefLei_MillTKm,Kab_BefGueM_Kt,Kab_BefLei_MillTKm
1995,1716.521,178.089,189.572,11.483,1894.61,3.6,23302.0,3169559,237798,3098234,201299,71094,36426,35109,17781,30762,15883,6756,718
1996,1741.658,179.722,189.529,9.807,1921.38,1.4,23585.0,3014946,236584,2941570,199196,68756,36543,36609,18117,29449,15771,6756,845
1997,1779.073,182.077,192.202,10.125,1961.15,2.1,24060.0,2980981,245881,2899931,203119,77302,42044,39666,20929,34296,17822,6756,718
1998,1825.86,188.56,198.97,10.41,2014.42,2.7,24733.0,2968023,257447,2880689,210402,82420,46028,41966,22607,36468,19566,6756,1016
1999,1856.619,202.861,213.56,10.699,2059.48,2.2,25294.0,3181363,278470,3083583,226892,91025,50045,47250,24474,39005,21217,6756,1533
2000,1901.809,207.281,217.979,10.698,2109.09,2.4,25892.0,3005104,280699,2901152,226520,96683,52771,49878,26196,41997,22488,7269,1408
2001,1962.576,209.964,220.622,10.658,2172.54,3.0,26651.0,2884479,288955,2768884,230008,106718,57259,55366,28750,45096,23401,8877,1688
2002,1987.125,210.995,221.847,10.852,2198.12,1.2,26945.0,2720163,285207,2607076,225467,104517,58138,55101,28440,42660,23734,8571,1602
2003,1996.524,215.046,226.182,11.136,2211.57,0.6,27120.0,2743858,290918,2618830,227197,116050,62155,61659,31692,47425,24883,8978,1565
2004,2049.674,212.846,224.113,11.267,2262.52,2.3,27776.0,2767167,303744,2625007,232295,130110,69504,70367,34796,52225,28142,12051,1944
2005,2069.658,218.652,225.947,7.295,2288.31,1.1,28134.0,2764983,310114,2612641,237609,135345,70248,73185,34847,53001,27716,16997,2257
2006,2156.957,228.123,235.275,7.152,2385.08,4.2,29383.0,2919325,330008,2758467,251372,146047,76363,76177,36799,60061,30872,14812,2273
2007,2247.83,251.72,258.592,6.872,2499.55,4.8,30862.0,3027941,343438,2847276,261432,158763,79460,84028,38817,64290,31900,21902,2546
2008,2289.553,256.937,263.381,6.444,2546.49,1.9,31530.0,3077845,341551,2895469,264538,157399,74232,84233,36089,62599,29525,24977,2781
2009,2192.834,252.896,263.632,10.736,2445.73,-4.0,30388.0,2768694,307575,2625026,245597,130496,60194,70444,30261,51913,23539,13172,1785
2010,2305.684,258.716,266.178,7.462,2564.4,4.9,31942.0,2734098,313097,2594703,252455,127369,58667,67902,29387,52182,23460,12027,1975
2011,2418.099,275.461,281.909,6.448,2693.56,5.0,33554.0,2986182,323848,2844037,265018,128517,56803,70305,29009,51018,22475,13628,2028
2012,2465.8,279.51,285.975,6.465,2745.31,1.9,34135.0,2891308,307106,2760640,254491,119546,50851,65595,26406,47797,20030,11122,1764
2013,2527.883,283.467,290.226,6.759,2811.35,2.4,34860.0,2938189,305781,2809265,256715,117039,47277,63608,24443,47564,18868,11883,1786
2014,2635.393,292.037,298.774,6.737,2927.43,4.1,36149.0,3052072,310142,2924158,263024,115870,45348,64358,23326,45556,18204,12044,1770
2015,2722.02,304.16,310.942,6.782,3026.18,3.4,37046.0,3035334,314816,2910109,269651,112832,43374,62568,22902,44494,17095,12393,1792
2016,2822.443,312.297,319.143,6.846,3134.74,3.6,38067.0,3111819,315769,2985961,271676,115943,42478,64198,22319,45729,16660,9916,1614
2017,2944.074,323.086,329.847,6.761,3267.16,4.2,39527.0,3161781,313143,3036746,271662,113381,39821,62916,20938,44229,15619,11654,1660
2018,3032.736,332.714,339.6,6.886,3365.45,3.0,40594.0,3200890,316767,3078217,276147,111647,39088,62620,20588,42783,15213,11026,1532
2019,3129.717,343.543,350.942,7.399,3473.26,3.2,41800.0,3208197,311869,3093837,274032,104142,36183,58001,19034,40178,13842,10218,1654
2020,3087.963,317.467,325.939,8.472,3405.43,-2.0,40950.0,3119624,304610,3012816,269925,97733,33379,55810,17816,36504,12714,9074,1306
2021,3258.567,343.183,365.008,21.825,3601.75,5.8,43292.0,3107972,307277,2996781,271999,102531,34033,58620,18292,38284,12994,8661,1245
2022,3502.237,367.663,390.639,22.976,3869.9,7.4,46182.0,3060939,303944,2954734,268553,96886,33881,55070,17914,36112,12972,9319,1509
